song name,danceability,mood_acoustic,mood_aggressive,mood_electronic,mood_happy,mood_party,mood_relaxed,mood_sad,tonal,voice_female,voice_male,instrumental,voice,tempo
Sing Me to Sleep - Alan Walker,0.72863054,0.2031653,0.18500414,0.5930754,0.33799863,0.6131031,0.59220177,0.41678768,0.95015746,0.6471014,0.35289857,0.24967085,0.75032943,88.0
Sky High - Elektronomia,0.5688048,0.24556552,0.150078,0.5577478,0.38295418,0.56401557,0.6199844,0.5232504,0.84180605,0.4437666,0.55623335,0.6127799,0.3872199,128.0
Skyfall - Adele,0.12039309,0.46518406,0.073422335,0.113017984,0.21700512,0.17347112,0.8605885,0.7879883,0.78961545,0.4542094,0.5457908,0.25576836,0.74423176,154.0
"Sonapareeya - Javed Ali, Nakash Aziz, AR Rahman, Haricharan",0.7751832,0.09558095,0.107932694,0.41447046,0.39708424,0.8371038,0.56949353,0.3203882,0.87420297,0.3453441,0.6546559,0.19222033,0.8077793,121.0
Space Song (Beach House Cover) - Alles Club,0.14849555,0.3800311,0.07373498,0.310747,0.061517935,0.10041959,0.9517409,0.82271147,0.83758795,0.36394522,0.63605547,0.46153006,0.53847,140.0
Still DRE (Instrumental) - Dr Dre,0.91094035,0.23415129,0.007941003,0.808649,0.22042395,0.44202533,0.91743714,0.6805082,0.8004653,0.5852431,0.41475695,0.8307247,0.16927572,70.0
"Subha Hone Na De - Mika Singh, Shefali Alvares",0.7422068,0.12791681,0.13023539,0.6030718,0.25307348,0.71738577,0.6304325,0.4610922,0.81598747,0.41978848,0.5802115,0.31562087,0.6843789,66.0
"Taal Se Taal - Alka Yagnik, Udit Narayan",0.4903778,0.2936597,0.037608888,0.290008,0.2774803,0.61595607,0.8568695,0.56595975,0.8410674,0.32505137,0.6749481,0.12350771,0.87649244,94.0
Take Me To Church - Hozier,0.064786784,0.50101715,0.031992484,0.07491158,0.10951804,0.17261523,0.95379287,0.87103957,0.9096625,0.2495297,0.75047016,0.079082176,0.92091787,140.0
"Tere Bina - AR Rahman, Chinmayi Sripada, Murtuza Khan, Qadir Khan",0.33730853,0.42158484,0.01529105,0.13048737,0.24473155,0.41893205,0.91680604,0.71417445,0.6644921,0.28879198,0.71120816,0.12070091,0.87929904,72.0
"The Rains of Castamere - Ramin Djawadi, Serj Tankian",0.025572514,0.67952013,0.022318166,0.056032892,0.08678847,0.08637235,0.9606398,0.9121755,0.7185687,0.2888097,0.7111906,0.22999375,0.77000624,154.0
The Spectre - Alan Walker,0.55935925,0.29901832,0.2098546,0.48004916,0.41216117,0.46565348,0.53857297,0.36241314,0.92396,0.4771451,0.52285475,0.3623251,0.63767517,64.0
These Are My Feelings - MrFIRA,0.38156527,0.4994371,0.0077209086,0.40100282,0.062168535,0.20757592,0.9836946,0.8967389,0.6027357,0.49186668,0.50813335,0.49654782,0.5034522,76.0
Think - Kaleida,0.43073687,0.33786717,0.016205844,0.32570565,0.08605727,0.3543646,0.9672078,0.7977617,0.5970384,0.4128805,0.5871195,0.33185822,0.6681418,69.0
"Thumbi Penne - Gopi Sunder, Siddharth Menon",0.6841821,0.31269604,0.024374364,0.37389857,0.4316727,0.58122396,0.7516081,0.5491399,0.7644274,0.38588816,0.6141122,0.21241009,0.7875899,99.0
Thunder - Imagine Dragons,0.6224668,0.06203221,0.3091674,0.4546004,0.13381165,0.65602833,0.70679224,0.4158565,0.92335147,0.35910788,0.64089215,0.233508,0.7664918,84.0
Time - Hans Zimmer,0.11103221,0.22239792,0.037720293,0.3710378,0.026947405,0.07144096,0.96601003,0.88715696,0.43315712,0.62738013,0.37261996,0.88723844,0.112761706,154.0
"Titli - Vishal & Shekhar, Chinmayi Sripada, Gopi Sunder",0.24599427,0.5903031,0.012032273,0.104084924,0.15235955,0.27054277,0.960432,0.8444651,0.73297197,0.35013738,0.6498629,0.12542592,0.8745743,81.0
Trust Each Other - Ramin Djawadi,0.20598407,0.17560397,0.13511877,0.5356798,0.047712285,0.10557436,0.9248239,0.7010676,0.70491374,0.6342752,0.36572486,0.9106652,0.08933446,154.0
Tum Hi Ho - Arijit Singh,0.12627089,0.72095376,0.0069103856,0.07693607,0.15300913,0.12237621,0.9609257,0.91428804,0.72976065,0.35824677,0.64175326,0.22369811,0.77630174,94.0
"Tum Tum - Aishwarya Kumar, Darshana Menon, Reena Gilbert, Vidhya Gopal, Yashika Sikka, Thaman S",0.25934854,0.45929155,0.09064222,0.17107616,0.24867265,0.4120775,0.7979196,0.5904413,0.70879155,0.24715605,0.75284433,0.16631272,0.83368725,74.0
"Tum Tum - Satya Yamini, Tejaswini, Srivardhini, Aditi Bhavaraju, Roshini JKV, Thaman S",0.2654795,0.45232144,0.08841965,0.17462859,0.25097695,0.41777557,0.8030088,0.6112708,0.7303477,0.28470126,0.71529865,0.17878923,0.82121104,74.0
"Tumhi Dekho Naa - Shankar-Ehsaan-Loy, Sonu Nigam, Alka Yagnik",0.15834436,0.56961083,0.008511839,0.15545207,0.14459617,0.22123803,0.97488725,0.90402484,0.65538234,0.37191185,0.628088,0.22477989,0.77522016,81.0
"Unakkul Naane - Rohini, Harris Jayaraj, Pritt, Dilushselva",0.17844689,0.6668821,0.0070297937,0.158598,0.07361267,0.15292509,0.9842892,0.9241798,0.8335664,0.3702495,0.62975025,0.14202327,0.8579767,108.0
"Unn Perai Sollum - GV Prakash Kumar, Naresh Iyer, Shreya Ghoshal, Haricharan",0.18460828,0.35344145,0.04483995,0.14302553,0.19411336,0.3262149,0.92076826,0.708866,0.6467148,0.3763969,0.62360287,0.29486027,0.7051395,94.0
Uska Hi Banana - Arijit Singh,0.2065975,0.48125964,0.10052411,0.16207062,0.19545648,0.2463046,0.8347284,0.7340931,0.78931314,0.39268982,0.60731024,0.1984446,0.80155534,102.0
"Usure Pogudhey - AR Rahman, Karthik",0.29600215,0.28615028,0.051722623,0.28004438,0.13748872,0.39817822,0.89231616,0.71409804,0.74049836,0.31392136,0.68607855,0.36845607,0.63154376,93.0
"Uyiril Thodum - Sooraj Santhosh, Anne Amie",0.17830372,0.6958994,0.0052203345,0.09292459,0.13522266,0.21400934,0.9570283,0.8966739,0.55129457,0.25013793,0.7498621,0.20055671,0.7994435,108.0
"Vaathi Coming - Anirudh Ravichander, Gana Balachandar",0.6395369,0.049339775,0.48779213,0.5084794,0.4315877,0.74944204,0.32847703,0.19831915,0.85641503,0.42318624,0.5768138,0.6170462,0.38295385,123.0
Vertigo (Spitfya Remix) - Rob Gasser & Laura Brehm,0.6870522,0.10203259,0.19165355,0.605458,0.30043226,0.71469206,0.5041599,0.4111749,0.8660064,0.40715244,0.59284765,0.43113014,0.56886965,87.0
