ID,song name,file_path
1852,Lungi Dance - Yo Yo Honey Singh,audio/Lungi_Dance_-_Yo_Yo_Honey_Singh.m4a
1779,"Lívstræðrir - John Lunn, Eivør",audio/Lívstræðrir_-_John_Lunn_Eivør.m4a
1756,MAYDAY - TheFatRat,audio/MAYDAY_-_TheFatRat.m4a
1724,Magenta Riddim - DJ Snake,audio/Magenta_Riddim_-_DJ_Snake.m4a
1785,"Main Tera Boyfriend - Arijit Singh, Neha Kakkar",audio/Main_Tera_Boyfriend_-_Arijit_Singh_Neha_Kakkar.m4a
1775,"Malai Mangum Neram (Female Unplugged) - Deepthi Balasubramanian, Aakash Srinivasan",audio/Malai_Mangum_Neram_Female_Unplugged_-_Deepthi_Balasubramanian_Aakash_Srinivasan.m4a
1797,Malai Mangum Neram - Prakash Nikki,audio/Malai_Mangum_Neram_-_Prakash_Nikki.m4a
1728,"Manasellam Mazhaiye - Sonu Nigam, Saindhavi, GV Prakash Kumar",audio/Manasellam_Mazhaiye_-_Sonu_Nigam_Saindhavi_GV_Prakash_Kumar.m4a
1881,"Marana Mass - Anirudh Ravichander, S P Balasubrahmanyam",audio/Marana_Mass_-_Anirudh_Ravichander_S_P_Balasubrahmanyam.m4a
1827,Masakali Lofi - Aelo,audio/Masakali_Lofi_-_Aelo.m4a
1766,Mayaanadhi - Shahabaz Aman,audio/Mayaanadhi_-_Shahabaz_Aman.m4a
1811,Mehabooba - Ananya Bhat,audio/Mehabooba_-_Ananya_Bhat.m4a
1889,"Mehabooba - Ravi Basrur, Ananya Bhat",audio/Mehabooba_-_Ravi_Basrur_Ananya_Bhat.m4a
1834,Memories - JFla,audio/Memories_-_JFla.m4a
1773,"Mental Manadhil - AR Rahman, Jonita Gandhi",audio/Mental_Manadhil_-_AR_Rahman_Jonita_Gandhi.m4a
1894,"Mere Haath Mein - Sunidhi Chauhan, Sonu Nigam, Jatin-Lalit, Prasoon Joshi",audio/Mere_Haath_Mein_-_Sunidhi_Chauhan_Sonu_Nigam_Jatin-Lalit_Prasoon_Joshi.m4a
1778,"Meri Aashiqui - Palak Muchhal, Arijit Singh",audio/Meri_Aashiqui_-_Palak_Muchhal_Arijit_Singh.m4a
1748,"Minunundae Mullapolae - Ashwin Renju, Karthik, Manu Manjith, Tovino Thomas, Balu Varghese, Santhy Balachandran, Neha Iyer",audio/Minunundae_Mullapolae_-_Ashwin_Renju_Karthik_Manu_Manjith_Tovino_Thomas_Balu_Varghese_Santhy_Balachandran_Neha_Iyer.m4a
1857,Mizhiyil - Shahabaz Aman,audio/Mizhiyil_-_Shahabaz_Aman.m4a
1753,"Mohabbat Barsa De - Arko, Arjun, Arijit Singh, Samira Koppikar",audio/Mohabbat_Barsa_De_-_Arko_Arjun_Arijit_Singh_Samira_Koppikar.m4a
1795,"Mounam Chorum Neram - Rinu Razak, Shaan Rahman",audio/Mounam_Chorum_Neram_-_Rinu_Razak_Shaan_Rahman.m4a
1721,"Mundhinam - Prashanthini, Harris Jayaraj, Naresh Iyer",audio/Mundhinam_-_Prashanthini_Harris_Jayaraj_Naresh_Iyer.m4a
1841,"Muskurane (Romantic) - Jeet Gannguli, Arijit Singh",audio/Muskurane_Romantic_-_Jeet_Gannguli_Arijit_Singh.m4a
1839,"My England - John Lunn, Eivør",audio/My_England_-_John_Lunn_Eivør.m4a
1805,"Naatu Naatu - Rahul Sipligunj, Kaala Bhairava, M M Keeravani",audio/Naatu_Naatu_-_Rahul_Sipligunj_Kaala_Bhairava_M_M_Keeravani.m4a
1820,Nainowale Ne - Neeti Mohan,audio/Nainowale_Ne_-_Neeti_Mohan.m4a
1886,"Nanavare - Tessa Chavara, Vipin Lal, Lal",audio/Nanavare_-_Tessa_Chavara_Vipin_Lal_Lal.m4a
